Quận/Huyện,Thời gian,Giá
Ba Đình,T1/23,389.5
Ba Đình,T1/24,503.27777777777777
Ba Đình,T10/22,203.89473684210526
Ba Đình,T10/23,507.3333333333333
Ba Đình,T10/24,681.8888888888889
Ba Đình,T11/22,191.27777777777777
Ba Đình,T11/23,470.8333333333333
Ba Đình,T12/22,478.44444444444446
Ba Đình,T12/23,483.6666666666667
Ba Đình,T2/23,474.1666666666667
Ba Đình,T2/24,483.1666666666667
Ba Đình,T3/23,470.77777777777777
Ba Đình,T3/24,510.1111111111111
Ba Đình,T4/23,453.8888888888889
Ba Đình,T4/24,288.8333333333333
Ba Đình,T5/23,238.23529411764707
Ba Đình,T5/24,488.05555555555554
Ba Đình,T6/23,465.44444444444446
Ba Đình,T6/24,298.77777777777777
Ba Đình,T7/23,458.55555555555554
Ba Đình,T7/24,316.3888888888889
Ba Đình,T8/23,404.0
Ba Đình,T8/24,637.6666666666666
Ba Đình,T9/23,478.77777777777777
Ba Đình,T9/24,672.0
Bắc Từ Liêm,T1/23,475.0
Bắc Từ Liêm,T1/24,545.8333333333334
Bắc Từ Liêm,T10/22,692.5833333333334
Bắc Từ Liêm,T10/23,667.0416666666666
Bắc Từ Liêm,T10/24,911.5833333333334
Bắc Từ Liêm,T11/22,613.25
Bắc Từ Liêm,T11/23,642.4166666666666
Bắc Từ Liêm,T12/22,661.4583333333334
Bắc Từ Liêm,T12/23,600.4166666666666
Bắc Từ Liêm,T2/23,486.625
Bắc Từ Liêm,T2/24,736.5833333333334
Bắc Từ Liêm,T3/23,296.0833333333333
Bắc Từ Liêm,T3/24,565.5
Bắc Từ Liêm,T4/23,670.0833333333334
Bắc Từ Liêm,T4/24,676.7916666666666
Bắc Từ Liêm,T5/23,460.5
Bắc Từ Liêm,T5/24,718.875
Bắc Từ Liêm,T6/23,469.625
Bắc Từ Liêm,T6/24,704.5416666666666
Bắc Từ Liêm,T7/23,601.125
Bắc Từ Liêm,T7/24,811.8333333333334
Bắc Từ Liêm,T8/23,624.0833333333334
Bắc Từ Liêm,T8/24,727.6666666666666
Bắc Từ Liêm,T9/23,674.625
Bắc Từ Liêm,T9/24,705.0416666666666
Chương Mỹ,T1/23,43.0
Chương Mỹ,T1/24,44.0
Chương Mỹ,T10/22,46.0
Chương Mỹ,T10/23,45.0
Chương Mỹ,T10/24,72.0
Chương Mỹ,T11/22,46.0
Chương Mỹ,T11/23,42.0
Chương Mỹ,T12/22,47.0
Chương Mỹ,T12/23,42.0
Chương Mỹ,T2/23,43.0
Chương Mỹ,T2/24,46.0
Chương Mỹ,T3/23,41.0
Chương Mỹ,T3/24,44.0
Chương Mỹ,T4/23,45.0
Chương Mỹ,T4/24,50.0
Chương Mỹ,T5/23,44.0
Chương Mỹ,T5/24,53.0
Chương Mỹ,T6/23,43.0
Chương Mỹ,T6/24,58.0
Chương Mỹ,T7/23,47.0
Chương Mỹ,T7/24,61.0
Chương Mỹ,T8/23,43.0
Chương Mỹ,T8/24,64.0
Chương Mỹ,T9/23,50.0
Chương Mỹ,T9/24,67.0
Cầu Giấy,T1/23,286.22857142857146
Cầu Giấy,T1/24,298.62857142857143
Cầu Giấy,T10/22,261.62857142857143
Cầu Giấy,T10/23,259.42857142857144
Cầu Giấy,T10/24,391.1714285714286
Cầu Giấy,T11/22,272.0571428571429
Cầu Giấy,T11/23,298.4
Cầu Giấy,T12/22,249.82857142857142
Cầu Giấy,T12/23,295.2857142857143
Cầu Giấy,T2/23,230.82857142857142
Cầu Giấy,T2/24,293.0857142857143
Cầu Giấy,T3/23,286.22857142857146
Cầu Giấy,T3/24,343.8285714285714
Cầu Giấy,T4/23,280.37142857142857
Cầu Giấy,T4/24,305.25714285714287
Cầu Giấy,T5/23,211.6
Cầu Giấy,T5/24,364.34285714285716
Cầu Giấy,T6/23,275.0571428571429
Cầu Giấy,T6/24,330.8285714285714
Cầu Giấy,T7/23,253.54285714285714
Cầu Giấy,T7/24,361.74285714285713
Cầu Giấy,T8/23,288.6
Cầu Giấy,T8/24,386.45714285714286
Cầu Giấy,T9/23,282.6857142857143
Cầu Giấy,T9/24,377.8
Gia Lâm,T1/23,353.7878787878788
Gia Lâm,T1/24,401.75757575757575
Gia Lâm,T10/22,433.3333333333333
Gia Lâm,T10/23,413.3636363636364
Gia Lâm,T10/24,603.6363636363636
Gia Lâm,T11/22,339.1818181818182
Gia Lâm,T11/23,397.8181818181818
Gia Lâm,T12/22,400.6060606060606
Gia Lâm,T12/23,415.2121212121212
Gia Lâm,T2/23,344.90909090909093
Gia Lâm,T2/24,320.8787878787879
Gia Lâm,T3/23,353.6666666666667
Gia Lâm,T3/24,398.6969696969697
Gia Lâm,T4/23,404.06060606060606
Gia Lâm,T4/24,441.3333333333333
Gia Lâm,T5/23,402.1515151515151
Gia Lâm,T5/24,433.6060606060606
Gia Lâm,T6/23,263.54545454545456
Gia Lâm,T6/24,430.27272727272725
Gia Lâm,T7/23,397.75757575757575
Gia Lâm,T7/24,513.0909090909091
Gia Lâm,T8/23,309.8787878787879
Gia Lâm,T8/24,517.6666666666666
Gia Lâm,T9/23,319.8484848484849
Gia Lâm,T9/24,272.3333333333333
Hai Bà Trưng,T1/23,273.27272727272725
Hai Bà Trưng,T1/24,355.8181818181818
Hai Bà Trưng,T10/22,217.27272727272728
Hai Bà Trưng,T10/23,306.1363636363636
Hai Bà Trưng,T10/24,509.59090909090907
Hai Bà Trưng,T11/22,323.1363636363636
Hai Bà Trưng,T11/23,349.1818181818182
Hai Bà Trưng,T12/22,169.3181818181818
Hai Bà Trưng,T12/23,357.90909090909093
Hai Bà Trưng,T2/23,281.3636363636364
Hai Bà Trưng,T2/24,323.04545454545456
Hai Bà Trưng,T3/23,282.0
Hai Bà Trưng,T3/24,392.8636363636364
Hai Bà Trưng,T4/23,320.8181818181818
Hai Bà Trưng,T4/24,399.95454545454544
Hai Bà Trưng,T5/23,317.5
Hai Bà Trưng,T5/24,412.22727272727275
Hai Bà Trưng,T6/23,147.3181818181818
Hai Bà Trưng,T6/24,418.72727272727275
Hai Bà Trưng,T7/23,322.1363636363636
Hai Bà Trưng,T7/24,431.54545454545456
Hai Bà Trưng,T8/23,324.22727272727275
Hai Bà Trưng,T8/24,404.95454545454544
Hai Bà Trưng,T9/23,333.3181818181818
Hai Bà Trưng,T9/24,478.5
Hoài Đức,T1/23,443.8888888888889
Hoài Đức,T1/24,376.77777777777777
Hoài Đức,T10/22,474.44444444444446
Hoài Đức,T10/23,439.6666666666667
Hoài Đức,T10/24,635.4444444444445
Hoài Đức,T11/22,325.0
Hoài Đức,T11/23,442.44444444444446
Hoài Đức,T12/22,358.1111111111111
Hoài Đức,T12/23,447.3333333333333
Hoài Đức,T2/23,450.77777777777777
Hoài Đức,T2/24,472.55555555555554
Hoài Đức,T3/23,427.55555555555554
Hoài Đức,T3/24,512.5555555555555
Hoài Đức,T4/23,416.77777777777777
Hoài Đức,T4/24,532.5555555555555
Hoài Đức,T5/23,401.55555555555554
Hoài Đức,T5/24,264.6666666666667
Hoài Đức,T6/23,399.1111111111111
Hoài Đức,T6/24,536.6666666666666
Hoài Đức,T7/23,409.1111111111111
Hoài Đức,T7/24,456.8888888888889
Hoài Đức,T8/23,327.3333333333333
Hoài Đức,T8/24,586.3333333333334
Hoài Đức,T9/23,284.77777777777777
Hoài Đức,T9/24,467.3333333333333
Hoàn Kiếm,T1/23,369.5
Hoàn Kiếm,T1/24,405.5
Hoàn Kiếm,T10/22,382.0
Hoàn Kiếm,T10/23,329.0
Hoàn Kiếm,T10/24,365.0
Hoàn Kiếm,T11/22,317.5
Hoàn Kiếm,T11/23,333.0
Hoàn Kiếm,T12/22,343.5
Hoàn Kiếm,T12/23,332.5
Hoàn Kiếm,T2/23,376.0
Hoàn Kiếm,T2/24,316.5
Hoàn Kiếm,T3/23,326.5
Hoàn Kiếm,T3/24,326.5
Hoàn Kiếm,T4/23,352.5
Hoàn Kiếm,T4/24,409.5
Hoàn Kiếm,T5/23,119.0
Hoàn Kiếm,T5/24,339.5
Hoàn Kiếm,T6/23,337.5
Hoàn Kiếm,T6/24,357.0
Hoàn Kiếm,T7/23,322.5
Hoàn Kiếm,T7/24,426.5
Hoàn Kiếm,T8/23,359.0
Hoàn Kiếm,T8/24,388.0
Hoàn Kiếm,T9/23,339.5
Hoàn Kiếm,T9/24,404.0
Hoàng Mai,T1/23,593.1351351351351
Hoàng Mai,T1/24,645.6486486486486
Hoàng Mai,T10/22,676.4864864864865
Hoàng Mai,T10/23,564.1351351351351
Hoàng Mai,T10/24,776.8108108108108
Hoàng Mai,T11/22,291.8918918918919
Hoàng Mai,T11/23,666.0540540540541
Hoàng Mai,T12/22,223.51351351351352
Hoàng Mai,T12/23,737.4324324324324
Hoàng Mai,T2/23,342.64864864864865
Hoàng Mai,T2/24,645.9459459459459
Hoàng Mai,T3/23,590.5945945945946
Hoàng Mai,T3/24,631.5945945945946
Hoàng Mai,T4/23,597.8108108108108
Hoàng Mai,T4/24,663.6756756756756
Hoàng Mai,T5/23,599.6486486486486
Hoàng Mai,T5/24,867.027027027027
Hoàng Mai,T6/23,630.4324324324324
Hoàng Mai,T6/24,361.2972972972973
Hoàng Mai,T7/23,334.1621621621622
Hoàng Mai,T7/24,872.3783783783783
Hoàng Mai,T8/23,643.1621621621622
Hoàng Mai,T8/24,468.97297297297297
Hoàng Mai,T9/23,664.6486486486486
Hoàng Mai,T9/24,440.5405405405405
Hà Đông,T1/23,479.875
Hà Đông,T1/24,592.78125
Hà Đông,T10/22,509.84375
Hà Đông,T10/23,449.15625
Hà Đông,T10/24,598.5625
Hà Đông,T11/22,448.75
Hà Đông,T11/23,566.71875
Hà Đông,T12/22,497.875
Hà Đông,T12/23,425.28125
Hà Đông,T2/23,448.15625
Hà Đông,T2/24,572.9375
Hà Đông,T3/23,468.125
Hà Đông,T3/24,630.09375
Hà Đông,T4/23,458.375
Hà Đông,T4/24,370.75
Hà Đông,T5/23,371.1875
Hà Đông,T5/24,543.53125
Hà Đông,T6/23,445.84375
Hà Đông,T6/24,713.09375
Hà Đông,T7/23,446.84375
Hà Đông,T7/24,576.71875
Hà Đông,T8/23,525.6875
Hà Đông,T8/24,698.25
Hà Đông,T9/23,543.21875
Hà Đông,T9/24,749.15625
Long Biên,T1/23,112.71875
Long Biên,T1/24,121.34375
Long Biên,T10/22,117.09375
Long Biên,T10/23,118.25
Long Biên,T10/24,183.875
Long Biên,T11/22,114.78125
Long Biên,T11/23,109.65625
Long Biên,T12/22,114.75
Long Biên,T12/23,120.6875
Long Biên,T2/23,116.5
Long Biên,T2/24,125.625
Long Biên,T3/23,109.09375
Long Biên,T3/24,135.5
Long Biên,T4/23,109.6875
Long Biên,T4/24,147.09375
Long Biên,T5/23,114.53125
Long Biên,T5/24,153.78125
Long Biên,T6/23,115.65625
Long Biên,T6/24,163.46875
Long Biên,T7/23,114.125
Long Biên,T7/24,164.25
Long Biên,T8/23,113.96875
Long Biên,T8/24,170.1875
Long Biên,T9/23,109.09375
Long Biên,T9/24,177.46875
Nam Từ Liêm,T1/23,444.46031746031747
Nam Từ Liêm,T1/24,506.0952380952381
Nam Từ Liêm,T10/22,413.76190476190476
Nam Từ Liêm,T10/23,447.42857142857144
Nam Từ Liêm,T10/24,764.6349206349206
Nam Từ Liêm,T11/22,537.1587301587301
Nam Từ Liêm,T11/23,535.1587301587301
Nam Từ Liêm,T12/22,427.41269841269843
Nam Từ Liêm,T12/23,600.0952380952381
Nam Từ Liêm,T2/23,437.55555555555554
Nam Từ Liêm,T2/24,573.8253968253969
Nam Từ Liêm,T3/23,418.3492063492063
Nam Từ Liêm,T3/24,601.0
Nam Từ Liêm,T4/23,477.73015873015873
Nam Từ Liêm,T4/24,637.7460317460317
Nam Từ Liêm,T5/23,518.3174603174604
Nam Từ Liêm,T5/24,599.5396825396825
Nam Từ Liêm,T6/23,516.3174603174604
Nam Từ Liêm,T6/24,679.5555555555555
Nam Từ Liêm,T7/23,496.85714285714283
Nam Từ Liêm,T7/24,604.7619047619048
Nam Từ Liêm,T8/23,514.4761904761905
Nam Từ Liêm,T8/24,655.952380952381
Nam Từ Liêm,T9/23,560.8095238095239
Nam Từ Liêm,T9/24,672.7301587301587
Phường Cổ Nhuế 2,T1/23,106.0
Phường Cổ Nhuế 2,T1/24,123.0
Phường Cổ Nhuế 2,T10/22,99.0
Phường Cổ Nhuế 2,T10/23,115.0
Phường Cổ Nhuế 2,T10/24,161.0
Phường Cổ Nhuế 2,T11/22,101.0
Phường Cổ Nhuế 2,T11/23,103.0
Phường Cổ Nhuế 2,T12/22,100.0
Phường Cổ Nhuế 2,T12/23,109.0
Phường Cổ Nhuế 2,T2/23,102.0
Phường Cổ Nhuế 2,T2/24,122.0
Phường Cổ Nhuế 2,T3/23,105.0
Phường Cổ Nhuế 2,T3/24,117.0
Phường Cổ Nhuế 2,T4/23,109.0
Phường Cổ Nhuế 2,T4/24,142.0
Phường Cổ Nhuế 2,T5/23,108.0
Phường Cổ Nhuế 2,T5/24,144.0
Phường Cổ Nhuế 2,T6/23,114.0
Phường Cổ Nhuế 2,T6/24,150.0
Phường Cổ Nhuế 2,T7/23,112.0
Phường Cổ Nhuế 2,T7/24,147.0
Phường Cổ Nhuế 2,T8/23,118.0
Phường Cổ Nhuế 2,T8/24,154.0
Phường Cổ Nhuế 2,T9/23,108.0
Phường Cổ Nhuế 2,T9/24,155.0
Thanh Oai,T1/23,63.0
Thanh Oai,T1/24,58.0
Thanh Oai,T10/22,60.0
Thanh Oai,T10/23,52.0
Thanh Oai,T10/24,99.0
Thanh Oai,T11/22,57.0
Thanh Oai,T11/23,60.0
Thanh Oai,T12/22,56.0
Thanh Oai,T12/23,56.0
Thanh Oai,T2/23,61.0
Thanh Oai,T2/24,64.0
Thanh Oai,T3/23,56.0
Thanh Oai,T3/24,61.0
Thanh Oai,T4/23,62.0
Thanh Oai,T4/24,66.0
Thanh Oai,T5/23,59.0
Thanh Oai,T5/24,71.0
Thanh Oai,T6/23,55.0
Thanh Oai,T6/24,75.0
Thanh Oai,T7/23,57.0
Thanh Oai,T7/24,75.0
Thanh Oai,T8/23,65.0
Thanh Oai,T8/24,78.0
Thanh Oai,T9/23,58.0
Thanh Oai,T9/24,86.0
Thanh Trì,T1/23,341.5
Thanh Trì,T1/24,397.6666666666667
Thanh Trì,T10/22,360.1666666666667
Thanh Trì,T10/23,345.5
Thanh Trì,T10/24,490.5
Thanh Trì,T11/22,358.0
Thanh Trì,T11/23,365.3333333333333
Thanh Trì,T12/22,320.3333333333333
Thanh Trì,T12/23,373.1666666666667
Thanh Trì,T2/23,106.33333333333333
Thanh Trì,T2/24,393.8333333333333
Thanh Trì,T3/23,353.6666666666667
Thanh Trì,T3/24,445.3333333333333
Thanh Trì,T4/23,335.0
Thanh Trì,T4/24,139.66666666666666
Thanh Trì,T5/23,339.3333333333333
Thanh Trì,T5/24,427.6666666666667
Thanh Trì,T6/23,341.6666666666667
Thanh Trì,T6/24,143.33333333333334
Thanh Trì,T7/23,334.5
Thanh Trì,T7/24,144.16666666666666
Thanh Trì,T8/23,360.0
Thanh Trì,T8/24,443.0
Thanh Trì,T9/23,357.3333333333333
Thanh Trì,T9/24,152.16666666666666
Thanh Xuân,T1/23,287.625
Thanh Xuân,T1/24,233.3125
Thanh Xuân,T10/22,292.375
Thanh Xuân,T10/23,283.875
Thanh Xuân,T10/24,413.5625
Thanh Xuân,T11/22,264.1875
Thanh Xuân,T11/23,327.4375
Thanh Xuân,T12/22,285.375
Thanh Xuân,T12/23,326.0
Thanh Xuân,T2/23,292.875
Thanh Xuân,T2/24,278.4375
Thanh Xuân,T3/23,295.0
Thanh Xuân,T3/24,366.5625
Thanh Xuân,T4/23,298.625
Thanh Xuân,T4/24,390.0
Thanh Xuân,T5/23,277.375
Thanh Xuân,T5/24,303.4375
Thanh Xuân,T6/23,244.8125
Thanh Xuân,T6/24,394.5625
Thanh Xuân,T7/23,303.625
Thanh Xuân,T7/24,400.25
Thanh Xuân,T8/23,281.3125
Thanh Xuân,T8/24,421.5625
Thanh Xuân,T9/23,305.5
Thanh Xuân,T9/24,345.5625
Thạch Thất,T1/23,534.0
Thạch Thất,T1/24,386.0
Thạch Thất,T10/22,492.0
Thạch Thất,T10/23,453.0
Thạch Thất,T10/24,562.0
Thạch Thất,T11/22,465.0
Thạch Thất,T11/23,453.0
Thạch Thất,T12/22,465.0
Thạch Thất,T12/23,452.0
Thạch Thất,T2/23,45.0
Thạch Thất,T2/24,419.0
Thạch Thất,T3/23,438.0
Thạch Thất,T3/24,431.0
Thạch Thất,T4/23,435.0
Thạch Thất,T4/24,465.0
Thạch Thất,T5/23,394.0
Thạch Thất,T5/24,434.0
Thạch Thất,T6/23,398.0
Thạch Thất,T6/24,434.0
Thạch Thất,T7/23,40.0
Thạch Thất,T7/24,447.0
Thạch Thất,T8/23,376.0
Thạch Thất,T8/24,493.0
Thạch Thất,T9/23,402.0
Thạch Thất,T9/24,532.0
Tây Hồ,T1/23,611.3928571428571
Tây Hồ,T1/24,749.5357142857143
Tây Hồ,T10/22,682.9310344827586
Tây Hồ,T10/23,692.6785714285714
Tây Hồ,T10/24,399.7142857142857
Tây Hồ,T11/22,667.1428571428571
Tây Hồ,T11/23,412.7857142857143
Tây Hồ,T12/22,665.5357142857143
Tây Hồ,T12/23,740.3928571428571
Tây Hồ,T2/23,616.9285714285714
Tây Hồ,T2/24,452.75
Tây Hồ,T3/23,414.0
Tây Hồ,T3/24,748.5714285714286
Tây Hồ,T4/23,708.75
Tây Hồ,T4/24,707.7142857142857
Tây Hồ,T5/23,389.962962962963
Tây Hồ,T5/24,804.2857142857143
Tây Hồ,T6/23,372.89285714285717
Tây Hồ,T6/24,830.8571428571429
Tây Hồ,T7/23,426.10714285714283
Tây Hồ,T7/24,549.6428571428571
Tây Hồ,T8/23,442.0357142857143
Tây Hồ,T8/24,860.4642857142857
Tây Hồ,T9/23,679.75
Tây Hồ,T9/24,850.3928571428571
Đông Anh,T1/23,25.0
Đông Anh,T1/24,284.0
Đông Anh,T10/22,25.0
Đông Anh,T10/23,264.0
Đông Anh,T10/24,513.0
Đông Anh,T11/22,259.0
Đông Anh,T11/23,283.0
Đông Anh,T12/22,26.0
Đông Anh,T12/23,283.0
Đông Anh,T2/23,266.0
Đông Anh,T2/24,317.0
Đông Anh,T3/23,275.0
Đông Anh,T3/24,34.0
Đông Anh,T4/23,269.0
Đông Anh,T4/24,381.0
Đông Anh,T5/23,281.0
Đông Anh,T5/24,387.0
Đông Anh,T6/23,26.0
Đông Anh,T6/24,39.0
Đông Anh,T7/23,254.0
Đông Anh,T7/24,395.0
Đông Anh,T8/23,254.0
Đông Anh,T8/24,426.0
Đông Anh,T9/23,26.0
Đông Anh,T9/24,507.0
Đống Đa,T1/23,178.3181818181818
Đống Đa,T1/24,191.0
Đống Đa,T10/22,173.04347826086956
Đống Đa,T10/23,199.3181818181818
Đống Đa,T10/24,245.6818181818182
Đống Đa,T11/22,172.72727272727272
Đống Đa,T11/23,197.0
Đống Đa,T12/22,168.27272727272728
Đống Đa,T12/23,186.9090909090909
Đống Đa,T2/23,178.5
Đống Đa,T2/24,202.36363636363637
Đống Đa,T3/23,179.1818181818182
Đống Đa,T3/24,211.6818181818182
Đống Đa,T4/23,181.3181818181818
Đống Đa,T4/24,220.76190476190476
Đống Đa,T5/23,178.95454545454547
Đống Đa,T5/24,232.0
Đống Đa,T6/23,185.0909090909091
Đống Đa,T6/24,227.9090909090909
Đống Đa,T7/23,185.1818181818182
Đống Đa,T7/24,232.04545454545453
Đống Đa,T8/23,188.86363636363637
Đống Đa,T8/24,230.9090909090909
Đống Đa,T9/23,192.8181818181818
Đống Đa,T9/24,240.45454545454547
